school_name,BE Score,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments
Scots All Saints College,,327,348,675
Snowy Mountains Grammar School,91,133,150,283
Redeemer Baptist School,99,202,266,468
Newcastle Grammar School,97,430,429,859
St Spyridon College,94,372,411,783
Masada College,94,186,293,478
Toongabbie Christian College,91,501,472,973
Northholm Grammar School,91,172,229,399.5
Roseville College,98,973,0,973
Mount Annan Christian College,83,221,233,454
Carinya Christian School Gunnedah,Not Rated,74,81,155
Carinya Christian School Tamworth,88,378,344,722
St Bishoy Coptic Orthodox College,79,169,171,340
Wenona School,98,1138,0,1138
Cedars Christian College,94,331,296,626.5
Georges River Grammar,94,431,500,930.6
SCECGS Redlands,98,806,794,1600
Central Coast Adventist School,87,498,459,957
Newington College,97,0,2015,2015
SHORE - Sydney Church of England Grammar School,98,17,1624,1641
Sapphire Coast Anglican College,80,165,131,296
New England Girls' School,82,240,21,261
The King's School,98,0,1772,1772
St Columba Anglican School,94,583,574,1157
St Philip's Christian College - Port Stephens,86,343,374,717
Oxley College,94,364,340,704
William Clarke College,97,781,785,1566
Wollondilly Anglican College,89,553,434,987
Nepean Christian School,87,217,244,461
Mountain View Adventist College,77,339,333,672
Medowie Christian School,85,209,242,451
Korowal School,82,102,123,225
Shellharbour Anglican College,93,329,338,667
Richmond Christian College,Not Rated,123,95,218
Trinity Anglican College - Albury,88,596,526,1122
Meriden School,99,1276,0,1276
Danebank - An Anglican School for Girls,96,931,0,931
Frensham School,95,351,0,351
Yanginanook School,,23,14,37
Al Amanah College,79,435,455,890
Kambala,99,972,0,972
The Scots School Albury,95,224,213,436.9
Southern Highlands Christian School,86,179,184,362.1
St Euphemia College,86,286,314,600
St George Christian School,96,338,447,785
William Carey Christian School,92,553,586,1139
St Philip's Christian College - Waratah,92,640,664,1304
International Grammar School,96,544,642,1186
Wyong Christian Community School,85,379,357,736
Macarthur Adventist College,77,301,307,608
Australian Islamic College of Sydney,91,585,597,1182
Penrith Anglican College,93,457,514,971
Ravenswood School for Girls,98,1268,0,1268
"Australian International Academy, Sydney, Strathfield Campus",86,207,245,452
SCEGGS Darlinghurst,99,930,0,930
The Illawarra Grammar School,95,371,406,777
Central Coast Grammar School,97,640,642,1281.2
Al Zahra College,84,243,229,472
Wycliffe Christian School,90,142,186,328
Macarthur Anglican School,97,438,410,848
Rissalah College,,279,263,542
Heritage College Lake Macquarie,85,114,139,253
Al-Faisal College,97,1148,1052,2200
Ascham School,98,1181,0,1181
St Peter's Anglican College - Broulee,90,174,191,365
Elonera Montessori School,90,71,84,155
Emanuel School,97,400,429,829
Arndell Anglican College,85,573,587,1160
Bethel Christian School,76,129,131,260
Bishop Druitt College,91,503,510,1013
Blue Mountains Grammar School,95,259,283,542
Parkes Christian School,75,109,108,217
Coffs Harbour Bible Church School,Not Rated,12,13,25
Cranbrook School,98,0,1482,1482
Mountains Christian College,78,80,109,189
St Philip's Christian College - Gosford,89,264,316,580
Green Point Christian College,93,520,440,959.5
Galstaun College,81,148,158,306
Hunter Valley Grammar School,92,546,543,1089
Inaburra School,95,547,539,1085.5
Malek Fahd Islamic School,92,1381,1349,2730
Nowra Christian School,82,203,210,413
Pacific Hills Christian School,95,643,687,1329.7
PLC Armidale,96,253,0,253
Presbyterian Ladies' College Sydney,99,1354,0,1354
The Athena School,Not Rated,23,22,45
Redfield College,92,0,440,440
Richard Johnson Anglican School,86,502,536,1038
St Catherine's School,98,1013,0,1013
St Luke's Grammar School,97,569,579,1148
St Mark's Coptic Orthodox College,94,342,395,737
Lindisfarne Anglican Grammar School,94,600,598,1198
St Paul's Grammar School,93,431,398,829
"Amity College, Prestons",93,1064,943,2007
Wahroonga Adventist School,94,244,272,516
Rouse Hill Anglican College,90,646,661,1307
MLC School,98,1221,0,1220
Bishop Tyrrell Anglican College,85,401,408,808.5
Maitland Christian School,91,223,238,461
Montgrove College,97,436,235,671
Belmont Christian College,91,300,317,617
Mamre Anglican School,83,298,341,639
Hunter Christian School,82,152,192,344
Northern Beaches Christian School,93,532,696,1226.5
Orange Christian School,84,167,167,332.4
Pacific Brook Christian School,,25,23,48
Oxford Falls Grammar School,94,553,573,1126
Australian Christian College - Singleton,88,86,96,181.6
Pacific Valley Christian School,73,166,158,324
Southern Cross Catholic Vocational College,Not Rated,91,86,176
Macquarie Grammar School,Not Rated,32,58,90
Australian Christian College - Marsden Park,88,345,322,667
St Benedict's Catholic College,84,476,435,911
Alpha Omega Senior College,84,208,312,520
Hills Adventist College,93,305,299,604
Oran Park Anglican College,87,343,337,680
Pittwater House Schools,97,383,465,847.3
Western Grammar School,80,164,164,328
Aurora Southern Highlands Steiner School,,38,42,76.8
Central Coast Sports College,,90,288,378
Pal Buddhist School,95,48,57,105
Irfan College,74,111,145,256
Al-Faisal College - Campbelltown,96,354,303,657
Salamah College,89,589,529,1118
St Brigid's Catholic College,79,199,177,376
"Australian International Academy, Kellyville Campus",92,237,212,449
Cammeraygal High School,95,281,354,635
Aurora College,,,,
Kingdom Culture Christian School,Not Rated,30,31,61
The Anglican School Googong,Not Rated,119,126,245
St Luke's Catholic College (Secondary),Not Rated,46,73,119
The Ponds High School,89,673,767,1440
Al-Faisal College - Liverpool,90,277,320,597
Hills Montessori School,,6,7,13
SEDA College NSW,,47,122,169
St Francis Catholic College,85,343,324,667
St Bede's Catholic College,Not Rated,127,109,236
New Madinah College,Not Rated,48,32,80
Central West Leadership Academy,Not Rated,17,17,34
Santa Sophia Catholic College (Secondary),Not Rated,50,28,78
Southern Cross School of Distance Education,Not Rated,327,314,597.8
Finigan School of Distance Education,97,199,167,356.1
The Small School,,5,6,11
Lindfield Learning Village,94,147,168,315
Armidale Secondary College,76,557,601,1154.4
Murrumbidgee Regional High School,73,639,621,1258.4
